character,dialog,movie
Legolas,"One that is cursed. Long ago the men of the mountains swore an oath to the last King of Gondor to come to his aid, to fight. But when the time came, when Gondor's need was dire, they fled vanishing into the darkness of the mountain. And so Isildur cursed them, never to rest until they had fulfilled their pledge. Who shall call them from the grey twilight, the forgotten people? The heir of him to whom the oath they swore. From the North shall he come, need shall drive him. He shall pass the door to the Paths of the Dead.",The_Return_of_the_King
Gimli,The very warmth of my blood seems stolen away.,The_Return_of_the_King
Legolas,The way is shut. It was made by those who are dead and the dead keep it. The way is shut.,The_Return_of_the_King
Aragorn,Brego! I do not fear death!,The_Return_of_the_King
Galadriel,"This task was appointed to you, Frodo of the Shire. If you do not find a way, no one will.",The_Return_of_the_King
Eomer,"The scouts report Minas Tirith is surrounded. The lower level's in flames. Everywhere, legions of the enemy advance.",The_Return_of_the_King
Theoden,Time is against us. Make ready!,The_Return_of_the_King
Eowyn,Take heart Merry. It will soon be over.,The_Return_of_the_King
Merry,"My lady. You are fair and brave and have much to live for and many who love you. I know it is too late to turn aside. I know there is not much point now in hoping. If I were a knight of Rohan capable of great deeds'but I'm not. I'm a Hobbit. And I know I can't save Middle Earth. I just want to help my friends; Frodo, Sam, Pippin. More than anything I wish I could see them again.",The_Return_of_the_King
Eomer,Prepare to move out!,The_Return_of_the_King
Theoden,Make haste. We ride through the night.,The_Return_of_the_King
Eowyn,To battle.,The_Return_of_the_King
Merry,To battle.,The_Return_of_the_King
Gandalf,Back to the gate! Hurry!,The_Return_of_the_King
Gimli,"Well this is a thing unheard of. An elf will go underground, where a dwarf dare not. Oh. Oh, I'd never hear the end of it.",The_Return_of_the_King
Theoden,We must ride light and swift. It is a long road ahead and man and beast must reach the end with the strength to fight. Little Hobbits do not belong in war Master Meriadoc.,The_Return_of_the_King
Merry,All my friends have gone to battle. I would be ashamed to be left behind.,The_Return_of_the_King
Theoden,It is a three-day gallop to Minas Tirith and none of my riders can bear you as a burdon.,The_Return_of_the_King
Merry,I want to fight!,The_Return_of_the_King
Theoden,I will say no more.,The_Return_of_the_King
Eowyn,Ride with me!,The_Return_of_the_King
Merry,My lady!,The_Return_of_the_King
Eomer,"Form up, move out! Form up, move out!",The_Return_of_the_King
Theoden,Ride! Ride now to Gondor.,The_Return_of_the_King
Gimli,What is it? What do you see?,The_Return_of_the_King
Legolas,I see shapes of men and of horses.,The_Return_of_the_King
Gimli,Where?,The_Return_of_the_King
